,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,improved
26,1,0,15,0,1,1,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,0
27,1,0,15,0,1,1,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,1
28,1,0,16,0,0,0,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,0
29,1,0,16,0,1,1,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,1
30,1,0,15,0,1,1,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,1
31,1,0,15,0,1,1,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,0
32,1,0,15,1,1,1,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,0
33,1,0,15,0,0,1,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,1
34,1,0,16,0,1,1,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,1
35,1,1,15,0,1,1,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,0
36,1,0,15,0,0,1,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,1
37,1,0,16,1,1,0,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,1
38,1,1,15,1,1,1,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,0
39,1,1,15,1,1,1,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,0
40,1,1,16,0,0,1,2,2,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,1
41,1,0,15,0,0,1,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,0
42,1,0,15,0,1,1,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,0
43,1,0,15,0,1,1,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,0
44,1,1,16,0,0,1,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,0
45,1,1,15,0,0,0,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,0
46,1,1,16,0,0,0,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,1
47,1,0,16,0,1,1,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,0
48,1,0,15,0,1,1,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,0
49,1,1,15,0,1,1,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,0
50,1,1,16,0,0,1,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,1
51,1,1,15,0,0,1,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,1
52,1,0,15,0,0,0,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,0
53,1,1,15,0,1,1,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,1
54,1,1,15,0,0,0,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,1
55,1,1,16,0,1,0,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,1
56,1,1,15,0,1,0,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,1
57,1,0,15,0,1,1,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,1
58,1,0,15,0,0,1,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,1
59,1,1,16,0,1,1,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,1
60,1,1,16,1,1,1,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,1
61,1,1,16,0,1,1,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,0
62,1,1,16,0,0,1,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,1
63,1,1,16,0,1,1,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,0
64,1,1,15,0,0,1,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,0
65,1,1,16,0,0,1,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,0
66,1,0,15,0,1,0,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,0
67,1,1,16,0,1,1,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,0
68,1,1,15,1,0,1,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,1
69,1,1,15,1,0,1,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,0
70,1,0,16,0,1,1,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,1
71,1,0,15,0,1,1,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,0
72,1,1,15,1,1,1,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,0
73,1,0,16,0,1,1,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,0
74,1,1,16,0,1,1,3,3,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,1
75,1,0,15,0,1,1,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,0
76,1,0,15,0,1,1,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,0
77,1,1,16,0,1,1,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,0
78,1,0,17,0,1,1,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,0
79,1,1,16,0,1,1,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,0
80,1,0,15,0,1,1,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,1
81,1,0,15,0,1,1,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,0
82,1,1,15,0,0,1,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,0
83,1,0,15,0,0,1,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,0
84,1,1,15,0,1,1,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10,1
85,1,1,15,0,1,1,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,1
86,1,1,16,0,0,1,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6,0
87,1,1,15,0,1,1,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,1
88,1,0,16,0,1,1,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10,0
89,1,0,16,0,0,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7,0
90,1,1,16,0,1,1,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,0
91,1,1,15,0,1,1,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,1
92,1,1,16,0,0,1,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6,0
93,1,1,16,0,1,1,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,0
94,1,0,15,0,0,1,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,1
95,1,1,15,1,1,1,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,1
96,1,0,16,1,1,1,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15,1
97,1,1,16,0,1,1,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10,1
98,1,1,16,0,1,1,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14,1
99,1,1,16,0,1,1,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,1
100,1,0,16,0,1,1,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5,0
101,1,0,16,0,1,1,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17,1
102,1,0,15,0,1,1,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14,1
103,1,1,15,0,1,1,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6,0
104,1,0,15,0,1,0,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18,1
105,1,1,15,0,1,0,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11,1
106,1,1,15,0,1,1,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8,1
107,1,0,16,0,1,1,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18,1
108,1,0,15,1,1,1,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13,1
109,1,1,16,0,0,1,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16,1
110,1,0,15,0,0,0,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19,1
111,1,1,16,1,1,1,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10,1
112,1,1,16,0,1,1,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13,1
113,1,0,15,0,0,1,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19,1
114,1,0,15,1,1,1,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9,0
115,1,0,16,0,1,1,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16,0
116,1,0,15,0,1,1,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14,1
117,1,0,16,0,1,1,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13,1
118,1,0,17,1,1,1,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8,0
119,1,0,15,0,1,1,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13,0
120,1,1,15,0,1,1,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15,0
121,1,0,15,0,1,1,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15,0
122,1,1,16,0,0,1,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13,0
123,1,0,16,0,1,1,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13,0
124,1,1,16,0,1,1,2,2,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8,0
125,1,0,15,0,1,1,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12,0
126,1,1,15,0,0,0,3,4,other,other,home,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11,1
127,1,1,19,0,1,1,0,1,at_home,other,course,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9,1
129,1,0,16,1,1,1,4,4,teacher,teacher,course,mother,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18,0
132,1,1,17,0,0,1,2,2,other,other,course,father,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12,1
133,1,1,16,0,1,0,3,4,services,other,course,father,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11,0
138,1,0,16,0,0,1,1,1,services,other,course,mother,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12,0
139,1,1,15,0,1,1,4,4,teacher,teacher,course,mother,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,16,16,15,0
141,1,0,16,0,0,1,2,2,services,services,reputation,father,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,9,0
142,1,1,15,0,1,1,4,4,teacher,services,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11,1
143,1,1,16,0,0,1,1,1,at_home,at_home,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14,13,0
145,1,1,15,0,1,1,1,1,other,services,course,father,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11,1
147,1,1,15,0,1,1,1,2,at_home,other,course,mother,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11,1
149,1,0,15,0,0,0,2,1,services,other,course,mother,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,10,1
151,1,0,16,0,0,1,2,1,at_home,other,course,mother,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,12,13,14,1
152,1,1,15,1,1,1,3,3,services,services,reputation,other,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10,0
154,1,1,17,0,1,1,4,4,other,teacher,course,mother,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12,0
155,1,0,15,1,1,1,2,3,at_home,services,course,mother,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8,8,0
156,1,0,17,1,0,1,1,2,other,other,reputation,mother,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12,13,0
157,1,1,18,1,1,1,1,1,at_home,other,course,mother,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,10,0
158,1,0,16,1,1,1,2,2,at_home,other,course,mother,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,17,15,15,0
159,1,0,16,0,1,1,3,3,other,services,course,father,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12,1
161,1,0,15,1,1,1,3,2,other,other,course,mother,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,5,9,7,1
163,1,0,17,0,1,1,1,3,at_home,services,course,father,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,10,10,0
164,1,0,17,1,0,1,1,1,other,services,course,mother,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7,1
165,1,0,16,0,1,1,3,2,services,services,course,mother,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,12,11,12,0
166,1,0,16,0,1,1,2,2,other,other,course,father,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,10,10,0
167,1,1,16,0,1,1,4,2,health,services,home,father,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14,15,16,1
169,1,1,16,0,1,1,4,4,health,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14,14,0
171,1,0,16,0,1,1,1,0,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,16,1
172,1,0,17,0,0,1,4,4,teacher,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10,0
174,1,1,16,0,0,1,3,3,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9,1
175,1,0,17,0,0,1,4,3,teacher,other,course,mother,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,9,0
176,1,1,16,0,1,1,2,2,services,other,reputation,mother,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13,11,0
177,1,0,17,0,1,1,3,3,other,other,reputation,father,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,6,5,6,0
178,1,0,16,1,1,1,4,2,teacher,services,other,mother,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9,0
179,1,0,17,0,1,1,4,3,other,other,course,mother,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11,0
180,1,0,16,0,1,1,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8,0
181,1,0,16,0,1,1,3,3,services,other,home,mother,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12,1
182,1,1,17,0,1,1,2,4,services,services,reputation,father,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,16,17,17,1
183,1,1,17,0,0,1,3,3,other,other,reputation,mother,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8,0
184,1,1,16,0,1,1,3,2,other,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12,1
185,1,0,17,0,1,1,3,3,services,services,other,mother,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11,0
186,1,0,16,0,1,1,1,2,services,services,other,mother,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11,1
187,1,0,16,0,0,1,2,1,other,other,course,mother,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,15,15,15,0
188,1,1,17,0,1,0,3,3,health,other,reputation,mother,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,9,0
189,1,0,17,1,1,1,1,2,at_home,other,home,mother,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9,10,1
190,1,1,16,0,1,1,2,3,services,services,course,mother,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11,12,13,1
191,1,1,17,0,1,1,1,1,at_home,services,course,mother,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,9,0
192,1,0,17,0,1,1,1,2,at_home,services,other,other,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8,1
193,1,0,16,1,1,1,3,3,services,services,reputation,mother,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9,10,1
194,1,0,16,0,1,1,2,3,other,other,home,father,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,13,14,14,1
195,1,1,17,0,0,1,2,4,services,services,course,father,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,14,15,15,1
196,1,0,17,0,1,1,4,4,services,teacher,home,mother,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,17,15,16,0
197,1,0,16,1,0,1,3,3,teacher,other,home,father,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9,10,0
198,1,1,17,0,1,1,4,4,services,teacher,home,mother,2,1,1,0,1,0,0,1,1,1,0,4,2,4,2,3,2,24,18,18,18,0
199,1,1,16,0,0,1,4,4,teacher,teacher,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,10,0
200,1,1,16,0,1,1,4,3,health,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,16,16,16,0
201,1,1,16,0,1,1,2,3,other,other,reputation,mother,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10,10,1
202,1,1,17,0,1,1,1,1,other,other,course,mother,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9,10,0
203,1,1,17,1,1,1,2,2,other,other,reputation,mother,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,7,6,6,0
204,1,1,16,1,1,1,2,2,services,services,reputation,mother,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10,11,0
205,1,1,17,0,1,1,3,4,at_home,services,home,mother,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,10,9,9,0
206,1,1,16,0,1,0,3,1,services,other,course,mother,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,7,7,7,0
207,1,1,16,0,1,1,4,3,teacher,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,11,12,13,1
